Marca_Modelo,Precio,Km,Transmision,Combustible,URL,Anio,Marca,Modelo
Nissan Frontier 2024,27000,65000,Mecánica,Diesel,https://neoauto.com/auto/usado/nissan-frontier-2024-1863357,2024,Nissan,Frontier
Ford Explorer 2024,50000,20000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2024-1862987,2024,Ford,Explorer
Kia Sportage 2020,22000,44763,Automática,Gasolina,https://neoauto.com/auto/usado/kia-sportage-2020-1861742,2020,Kia,Sportage
Toyota Land Cruiser 2013,29900,160000,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-land-cruiser-2013-1858058,2013,Toyota,Land Cruiser
Volvo 121 1967,7500,71195,Mecánica,Gasolina,https://neoauto.com/auto/usado/volvo-121-1967-1852802,1967,Volvo,121
Mitsubishi Montero Sport 2023,33500,40500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2023-1860403,2023,Mitsubishi,Montero Sport
Audi Q2 2019,26000,44000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q2-2019-1859143,2019,Audi,Q2
Volvo Ex30 2025,39900,6200,Automática,Eléctrico,https://neoauto.com/auto/usado/volvo-ex30-2025-1859498,2025,Volvo,Ex30
Honda Accord 2010,6500,68000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-accord-2010-1852646,2010,Honda,Accord
Hyundai Santa Fe 2016,22000,6000,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2016-1857977,2016,Hyundai,Santa Fe
Dongfeng T5 Evo 2022,16000,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/dongfeng-t5-evo-2022-1850397,2022,Dongfeng,T5 Evo
Plymouth Satellite 1969,8990,56702,Mecánica,Gasolina,https://neoauto.com/auto/usado/plymouth-satellite-1969-1852798,1969,Plymouth,Satellite
Bmw 118i 2025,31000,18000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-118i-2025-1858497,2025,Bmw,118i
Toyota 4runner 2010,35000,180000,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2010-1860511,2010,Toyota,4runner
Bmw X4 20i 2025,55000,4700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2025-1863383,2025,Bmw,X4 20i
Mitsubishi L200 2022,24000,5000,Mecánica,Diesel,https://neoauto.com/auto/usado/mitsubishi-l200-2022-1852515,2022,Mitsubishi,L200
Subaru Xv 2018,16000,67000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1847383,2018,Subaru,Xv
Toyota Land Cruiser 1980,38000,160000,Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-1980-1863048,1980,Toyota,Land Cruiser
Toyota Hilux 2013,16500,128000,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2013-1861270,2013,Toyota,Hilux
Subaru Forester 2017,18500,57000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2017-1800805,2017,Subaru,Forester
Jac T6 2022,17500,22000,Mecánica,Diesel,https://neoauto.com/auto/usado/jac-t6-2022-1858395,2022,Jac,T6
Subaru Forester Turbo 2015,15500,111000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-forester-turbo-2015-1860141,2015,Subaru,Forester Turbo
Bmw X1 18i 2022,33500,19000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2022-1856117,2022,Bmw,X1 18i
Chevrolet Vivant 2007,7000,245000,Mecánica,Gas GNV,https://neoauto.com/auto/usado/chevrolet-vivant-2007-1856065,2007,Chevrolet,Vivant
Volkswagen Gol 2023,11500,72000,Mecánica,Dual,https://neoauto.com/auto/usado/volkswagen-gol-2023-1861871,2023,Volkswagen,Gol
Bmw 318i 2017,18990,48300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1716164,2017,Bmw,318i
Chevrolet Onix 2020,11000,46500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2020-1862628,2020,Chevrolet,Onix
Bmw 120i 2017,18900,47500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2017-1862197,2017,Bmw,120i
Mercedes Benz B180 2014,13200,71700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-b180-2014-1863776,2014,Mercedes,Benz B180
Changan Cs35 2017,8900,87500,Mecánica,Gasolina,https://neoauto.com/auto/usado/changan-cs35-2017-1858028,2017,Changan,Cs35
Bmw X1 20i 2017,23900,43335,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1863485,2017,Bmw,X1 20i
Mg Zx 2024,15000,54000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/mg-zx-2024-1859023,2024,Mg,Zx
Volkswagen Tiguan Allspace 2018,18300,57000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863356,2018,Volkswagen,Tiguan Allspace
Bmw X1 20i 2017,21500,57500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1861199,2017,Bmw,X1 20i
Nissan Versa Drive 2022,10950,99500,Mecánica,Dual,https://neoauto.com/auto/usado/nissan-versa-drive-2022-1855441,2022,Nissan,Versa Drive
Bmw 318i 2017,17500,62000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1859168,2017,Bmw,318i
Volkswagen Tiguan Allspace 2018,16880,70500,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863181,2018,Volkswagen,Tiguan Allspace
Subaru Wrx 2017,17500,140000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-wrx-2017-1862366,2017,Subaru,Wrx
Jac Refine 2023,16300,47000,Mecánica,Dual,https://neoauto.com/auto/usado/jac-refine-2023-1861345,2023,Jac,Refine
Toyota Hilux 2007,14900,118000,Mecánica,Gas GNV,https://neoauto.com/auto/usado/toyota-hilux-2007-1860609,2007,Toyota,Hilux
Volkswagen Jetta 2018,11000,81000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2018-1862785,2018,Volkswagen,Jetta
Mini Hatch 5dr 2020,25500,20000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mini-hatch-5dr-2020-1861420,2020,Mini,Hatch 5dr
Land Rover Freelander 2013,11500,124860,Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-freelander-2013-1860767,2013,Land,Rover Freelander
Zotye Z360 2017,6000,116000,Mecánica,Dual,https://neoauto.com/auto/usado/zotye-z360-2017-1863432,2017,Zotye,Z360
Kia Rio 2014,10000,72000,Automática,Dual,https://neoauto.com/auto/usado/kia-rio-2014-1863389,2014,Kia,Rio
Hyundai Santa Fe 2012,10500,239500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2012-1863248,2012,Hyundai,Santa Fe
Nissan X-Trail 2016,14500,52600,Automática,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2016-1862719,2016,Nissan,X-Trail
Bmw 114i 2014,12500,72400,Mecánica,Gasolina,https://neoauto.com/auto/usado/bmw-114i-2014-1859160,2014,Bmw,114i
Hyundai Creta 2023,18500,63000,Mecánica,Gasolina,https://neoauto.com/auto/usado/hyundai-creta-2023-1861843,2023,Hyundai,Creta
Nissan X-Trail 2018,16000,88500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2018-1862591,2018,Nissan,X-Trail
Chevrolet Onix Joy 2021,8700,34000,Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-joy-2021-1861023,2021,Chevrolet,Onix Joy
Ford F-150 1987,5000,99000,Mecánica,Diesel,https://neoauto.com/auto/usado/ford-f-150-1987-1857971,1987,Ford,F-150
Mazda Cx-5 2022,24000,42000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2022-1860644,2022,Mazda,Cx-5
Ford Explorer 2018,26500,87100,Automática,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2018-1862030,2018,Ford,Explorer
Bmw 420i 2018,18000,103558,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-420i-2018-1859661,2018,Bmw,420i
Toyota Fortuner 2017,29400,72400,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/toyota-fortuner-2017-1859736,2017,Toyota,Fortuner
Mazda Cx-9 2023,33500,28400,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-9-2023-1863015,2023,Mazda,Cx-9
Mg 6 2020,10500,76784,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mg-6-2020-1724463,2020,Mg,6
Mitsubishi Outlander 2016,14000,70000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mitsubishi-outlander-2016-1814339,2016,Mitsubishi,Outlander
Bmw 118i 2022,24000,59926,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-118i-2022-1861315,2022,Bmw,118i
Honda Accord 2010,10900,91000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-accord-2010-1863191,2010,Honda,Accord
Kia Mohave 2018,23600,43000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/kia-mohave-2018-1862005,2018,Kia,Mohave
Volkswagen Touareg 2013,14000,135000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-touareg-2013-1851583,2013,Volkswagen,Touareg
Bmw X1 18i 2019,20499,86700,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2019-1858077,2019,Bmw,X1 18i
Bmw 330i 2024,52900,14000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-330i-2024-1743484,2024,Bmw,330i
Bmw X5 30d 2014,19800,161000,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/bmw-x5-30d-2014-1860026,2014,Bmw,X5 30d
Toyota Land Cruiser Prado 2023,56900,44000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2023-1861034,2023,Toyota,Land Cruiser Prado
Mazda 3 2015,11500,78225,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-3-2015-1864013,2015,Mazda,3
Chevrolet Onix 2025,14850,2300,Automática,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2025-1860286,2025,Chevrolet,Onix
Haval Jolion 2023,18000,12000,Automática,Gasolina,https://neoauto.com/auto/usado/haval-jolion-2023-1857930,2023,Haval,Jolion
Chevrolet Captiva 2025,19400,11000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chevrolet-captiva-2025-1859481,2025,Chevrolet,Captiva
Volkswagen Beetle 2017,18300,51571,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-beetle-2017-1863073,2017,Volkswagen,Beetle
Bmw X3 2017,22000,62840,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-2017-1856282,2017,Bmw,X3
Honda Hr-V 2016,15300,49000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-hr-v-2016-1861527,2016,Honda,Hr-V
Chevrolet Captiva 2020,14100,72000,Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-captiva-2020-1853549,2020,Chevrolet,Captiva
Land Rover Range Rover Sport 2010,21500,103000,Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2010-1862433,2010,Land,Rover Range Rover Sport
Mazda 6 2016,12900,87000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-6-2016-1863596,2016,Mazda,6
Geely Gx3 Pro 2024,12400,42700,Automática,Gas GLP,https://neoauto.com/auto/usado/geely-gx3-pro-2024-1858622,2024,Geely,Gx3 Pro
Volkswagen Crossfox 2011,8000,166660,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2011-1863053,2011,Volkswagen,Crossfox
Bmw X5 44i 2013,17800,95000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-44i-2013-1858140,2013,Bmw,X5 44i
Bmw 335ci 2010,14950,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-335ci-2010-1861290,2010,Bmw,335ci
Kia Picanto 2018,9000,24000,Automática,Gasolina,https://neoauto.com/auto/usado/kia-picanto-2018-1858380,2018,Kia,Picanto
Jeep Grand Cherokee 2015,21990,65000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-2015-1838518,2015,Jeep,Grand Cherokee
Mazda Cx-3 2017,12500,130000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2017-1861109,2017,Mazda,Cx-3
Mg One 2024,17900,1035,Automática,Gasolina,https://neoauto.com/auto/usado/mg-one-2024-1863194,2024,Mg,One
Mg Zx 2024,12750,11300,Mecánica,Dual,https://neoauto.com/auto/usado/mg-zx-2024-1860528,2024,Mg,Zx
Suzuki Grand Vitara 2017,15500,22300,Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-vitara-2017-1862651,2017,Suzuki,Grand Vitara
Audi Q5 2015,15900,72300,Automática,Gasolina,https://neoauto.com/auto/usado/audi-q5-2015-1856068,2015,Audi,Q5
Volkswagen T-Cross 2024,20490,14130,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2024-1863769,2024,Volkswagen,T-Cross
Hyundai Kona 2024,25500,10500,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-kona-2024-1861258,2024,Hyundai,Kona
Jeep Grand Cherokee Laredo 2019,21900,94000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2019-1862218,2019,Jeep,Grand Cherokee Laredo
Hyundai Tucson 2015,14900,75000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/hyundai-tucson-2015-1863553,2015,Hyundai,Tucson
Suzuki Grand Nomade 2014,11800,133500,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/suzuki-grand-nomade-2014-1861880,2014,Suzuki,Grand Nomade
Mazda 6 2017,12900,95700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-6-2017-1863314,2017,Mazda,6
Kia Carnival 2014,20800,92500,Automática,Diesel,https://neoauto.com/auto/usado/kia-carnival-2014-1863676,2014,Kia,Carnival
Toyota Corolla 2015,12500,72000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/toyota-corolla-2015-1847192,2015,Toyota,Corolla
Lexus Es 250 2017,20500,62000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/lexus-es-250-2017-1851296,2017,Lexus,Es 250
Honda Pilot 2017,22200,61612,Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1858178,2017,Honda,Pilot
Haval H6 2021,15990,64000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/haval-h6-2021-1864006,2021,Haval,H6
Kia Cerato 2019,16950,22500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/kia-cerato-2019-1863455,2019,Kia,Cerato
Mercedes Benz A200 2018,17000,46300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a200-2018-1817780,2018,Mercedes,Benz A200
Honda Pilot 2019,27800,65000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2019-1861029,2019,Honda,Pilot
Mazda Cx-3 2018,15500,23000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2018-1858143,2018,Mazda,Cx-3
Honda Pilot 2019,30000,69000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2019-1863875,2019,Honda,Pilot
Toyota Hilux 2024,44000,9800,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2024-1859349,2024,Toyota,Hilux
Bmw X6 50i 2010,20000,78000,Automática - Secuencial,Eléctrico,https://neoauto.com/auto/usado/bmw-x6-50i-2010-1857836,2010,Bmw,X6 50i
Land Rover Defender 2021,76500,41000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-defender-2021-1862593,2021,Land,Rover Defender
Nissan X-Trail 2019,20900,47000,Automática - Secuencial,Gas GLP,https://neoauto.com/auto/usado/nissan-x-trail-2019-1725070,2019,Nissan,X-Trail
Honda Wr-V 2019,13500,79982,Mecánica,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2019-1863103,2019,Honda,Wr-V
Chevrolet Captiva 2011,9500,103500,Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-captiva-2011-1826878,2011,Chevrolet,Captiva
Honda Pilot 2016,19900,95000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2016-1844247,2016,Honda,Pilot
Land Rover Discovery Sport 2018,19500,76000,Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-discovery-sport-2018-1860906,2018,Land,Rover Discovery Sport
Mitsubishi Montero Sport 2017,33500,85000,Automática,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2017-1863176,2017,Mitsubishi,Montero Sport
Kia Rio 2016,10900,78000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/kia-rio-2016-1862802,2016,Kia,Rio
Audi Q3 2021,29900,47000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q3-2021-1861129,2021,Audi,Q3
Toyota Hilux 2023,32400,75500,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2023-1863403,2023,Toyota,Hilux
Peugeot Pickup Kp1 2023,21000,81285,Mecánica,Diesel,https://neoauto.com/auto/usado/peugeot-pickup-kp1-2023-1863128,2023,Peugeot,Pickup Kp1
Subaru Xv 2018,17900,66000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1861137,2018,Subaru,Xv
Mazda 3 Sport 2009,8500,76000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-3-sport-2009-1863330,2009,Mazda,3 Sport
Seat Ateca 2024,22900,23000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/seat-ateca-2024-1860512,2024,Seat,Ateca
Hyundai Tucson 2023,22700,55000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/hyundai-tucson-2023-1857992,2023,Hyundai,Tucson
Ssangyong Actyon Sports 2016,8900,107000,Mecánica,Diesel,https://neoauto.com/auto/usado/ssangyong-actyon-sports-2016-1860422,2016,Ssangyong,Actyon Sports
Lexus Rx 450h F Sport 2022,42000,88141,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/lexus-rx-450h-f-sport-2022-1861948,2022,Lexus,Rx 450h F Sport
Subaru Outback 2020,27000,41000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-outback-2020-1837680,2020,Subaru,Outback
Volkswagen Amarok 2016,22500,146757,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2016-1858906,2016,Volkswagen,Amarok
Subaru Evoltis 2021,34500,48000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-evoltis-2021-1863391,2021,Subaru,Evoltis
Mitsubishi Montero Sport 2017,25500,82000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2017-1857710,2017,Mitsubishi,Montero Sport
Toyota Corolla Cross 2024,20500,0,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2024-1860170,2024,Toyota,Corolla Cross
Audi A4 E 1.8t Multitronic 2016,16400,55000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a4-e-1-8t-multitronic-2016-1859080,2016,Audi,A4 E 1.8t Multitronic
Volkswagen Tiguan Allspace 2020,20000,60000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1861653,2020,Volkswagen,Tiguan Allspace
Toyota Rav4 2017,20499,89700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2017-1855848,2017,Toyota,Rav4
Nissan Tiida 2012,8800,124000,Automática,Dual,https://neoauto.com/auto/usado/nissan-tiida-2012-1864007,2012,Nissan,Tiida
Volkswagen Crossfox 2013,9200,57000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2013-1863006,2013,Volkswagen,Crossfox
Volvo Xc-60 2022,39500,17000,Automática,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2022-1859754,2022,Volvo,Xc-60
Bmw X3 20i 2020,34000,44500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2020-1864001,2020,Bmw,X3 20i
Jeep Patriot 2016,17000,41000,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-patriot-2016-1863411,2016,Jeep,Patriot
Hyundai Creta 2024,19950,25500,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/hyundai-creta-2024-1863948,2024,Hyundai,Creta
Haval H6 2023,21300,10000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/haval-h6-2023-1861919,2023,Haval,H6
Suzuki Apv Minivan 2016,7500,106047,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-apv-minivan-2016-1857935,2016,Suzuki,Apv Minivan
Suzuki Vitara 2018,13500,113000,Mecánica,Dual,https://neoauto.com/auto/usado/suzuki-vitara-2018-1861427,2018,Suzuki,Vitara
Renault Koleos 2024,20200,9000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/renault-koleos-2024-1860339,2024,Renault,Koleos
Toyota Hilux 2023,34200,43500,Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2023-1859951,2023,Toyota,Hilux
Volkswagen Tiguan Allspace 2018,19500,103000,Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1862746,2018,Volkswagen,Tiguan Allspace
Kia Sportage 2017,16200,96500,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/kia-sportage-2017-1859528,2017,Kia,Sportage
Jeep Cherokee Longitude 2019,19600,23900,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2019-1858790,2019,Jeep,Cherokee Longitude
Baic X35 2023,11800,18500,Mecánica,Dual,https://neoauto.com/auto/usado/baic-x35-2023-1863358,2023,Baic,X35
Bmw M135i 2013,15500,64500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-m135i-2013-1858766,2013,Bmw,M135i
Nissan Qashqai 2016,15000,59000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2016-1860186,2016,Nissan,Qashqai
Suzuki S-Cross 2019,14800,27000,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-s-cross-2019-1862655,2019,Suzuki,S-Cross
Hyundai Accent 2014,9600,94241,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-accent-2014-1860416,2014,Hyundai,Accent
Audi A6 2022,44900,45000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a6-2022-1862209,2022,Audi,A6
Subaru Forester 2023,33900,10300,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2023-1863232,2023,Subaru,Forester
Volkswagen Beetle 2015,15250,74400,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-beetle-2015-1861409,2015,Volkswagen,Beetle
Bmw X3 20i 2021,36500,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2021-1858033,2021,Bmw,X3 20i
Mitsubishi Montero Sport 2016,33000,100000,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2016-1858136,2016,Mitsubishi,Montero Sport
Land Rover Discovery Sport 2015,15700,80600,Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-discovery-sport-2015-1862388,2015,Land,Rover Discovery Sport
Ford Ranger Limited 2022,33500,35600,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/ford-ranger-limited-2022-1852435,2022,Ford,Ranger Limited
Mazda 3 Sport 2015,11500,97000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-3-sport-2015-1863360,2015,Mazda,3 Sport
Toyota Corolla 2023,17900,51000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-2023-1859916,2023,Toyota,Corolla
Mercedes Benz Glc 250 4matic 2019,29900,68000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2019-1851525,2019,Mercedes,Benz Glc 250 4matic
Chevrolet Cruze 2016,10500,51900,Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-cruze-2016-1857563,2016,Chevrolet,Cruze
Volkswagen Crossfox 2018,11500,77000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/volkswagen-crossfox-2018-1863390,2018,Volkswagen,Crossfox
Subaru Impreza Sport 2022,17900,17800,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2022-1863261,2022,Subaru,Impreza Sport
Audi A3 Sedan 2015,13400,81000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2015-1783431,2015,Audi,A3 Sedan
Citroen C-4 2014,7200,68500,Mecánica,Gasolina,https://neoauto.com/auto/usado/citroen-c-4-2014-1859533,2014,Citroen,C-4
Suzuki Fronx 2026,18500,4900,Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-fronx-2026-1860901,2026,Suzuki,Fronx
Chevrolet Tahoe 2017,27500,70000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/chevrolet-tahoe-2017-1862640,2017,Chevrolet,Tahoe
Subaru Forester 2014,13500,107000,Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2014-1859912,2014,Subaru,Forester
Mercedes Benz Glc 250 4matic 2018,26900,84000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2018-1846475,2018,Mercedes,Benz Glc 250 4matic
Porsche Cayenne Coupe 2021,77000,48000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/porsche-cayenne-coupe-2021-1858641,2021,Porsche,Cayenne Coupe
Audi Q3 2020,26500,82000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q3-2020-1854320,2020,Audi,Q3
Renault Symbol 2010,6000,99000,Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-symbol-2010-1860108,2010,Renault,Symbol
Mercedes Benz C-180 2017,17800,65200,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-2017-1861361,2017,Mercedes,Benz C-180
Ford Explorer 2017,24000,79000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2017-1861153,2017,Ford,Explorer
Bmw 740i 2012,16900,69000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-740i-2012-1863023,2012,Bmw,740i
Toyota Land Cruiser Prado 2021,42000,61000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2021-1862873,2021,Toyota,Land Cruiser Prado
Honda Hrv 2017,15000,52000,Automática,Gasolina,https://neoauto.com/auto/usado/honda-hrv-2017-1859943,2017,Honda,Hrv
Toyota Corolla 2015,15500,65000,Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-2015-1858836,2015,Toyota,Corolla
Volvo S60 2013,9000,80000,Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2013-1863838,2013,Volvo,S60
Peugeot Partner 2020,6900,167300,Mecánica,Dual,https://neoauto.com/auto/usado/peugeot-partner-2020-1862496,2020,Peugeot,Partner
Kia Picanto 2013,6900,87500,Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-picanto-2013-1862480,2013,Kia,Picanto
